Round,Pick,Team,Pick
1,1,E,COL
1,2,A,CGY
1,3,R,MIN
1,4,M,FLA
2,5,M,EDM
2,6,R,TOR
2,7,A,CAR
2,8,E,DAL
3,9,E,CHI
3,10,A,TBL
3,11,R,PIT
3,12,M,NYR
4,13,M,STL
4,14,R,NSH
4,15,A,VGK
4,16,E,SJS
5,17,E,CBJ
5,18,A,NYI
5,19,R,BOS
5,20,M,OTT
6,21,M,WSH
6,22,R,LAK
6,23,A,NJD
6,24,E,BUF
7,25,E,MTL
7,26,A,VAN
7,27,R,ANA
7,28,M,DET
8,29,M,WPG
8,30,R,SEA
8,31,A,PHI
8,32,E,ARI
